image_id,candidate_index,CLIP_cosine,CLIP_forward_two_way,CLIP_top1,CLIP_top5,AlexNet5_forward_two_way,Inception_forward_two_way,PixCorr,SSIM
95,0,0.8274959423330274,0.9899799599198397,0.0,0.0,0.9879759519038076,0.9619238476953907,0.08040237226030951,0.6189995034758282
95,1,0.8158363539893299,0.9959919839679359,0.0,1.0,0.9939879759519038,0.9979959919839679,-0.24017554863143106,0.39498240029823267
95,2,0.7888213183955153,0.9839679358717435,0.0,0.0,1.0,0.9478957915831663,0.07727776570889468,0.5343218423236754
95,3,0.8588154285587523,1.0,1.0,1.0,1.0,0.9979959919839679,0.2427355113367845,0.7295404013869098
95,4,0.8835119381428573,0.9979959919839679,0.0,1.0,1.0,1.0,0.11002897682739278,0.7018421740569005
95,5,0.8035996574116331,0.9879759519038076,0.0,0.0,1.0,0.9819639278557114,0.1823310146369508,0.6438871491015645
95,6,0.8245062423339267,0.9899799599198397,0.0,0.0,0.9939879759519038,0.9979959919839679,-0.10742691618726159,0.589136875795292
95,7,0.8558842573297335,0.9939879759519038,0.0,1.0,0.9959919839679359,0.9939879759519038,0.11867830925267228,0.5860472300396876
204,0,0.7142677610476635,0.9839679358717435,0.0,0.0,0.9819639278557114,0.9859719438877755,0.00014589221062363846,0.12736516133573314
204,1,0.5147424463600652,0.4649298597194389,0.0,0.0,0.9238476953907816,0.9879759519038076,-0.12654766251066862,0.19005709587146605
204,2,0.5522505258913317,0.7254509018036072,0.0,0.0,0.7474949899799599,0.9539078156312625,-0.017253464103131756,0.15705488895091477
204,3,0.6937764855139115,0.969939879759519,0.0,0.0,0.8677354709418837,1.0,-0.008293028689241316,0.1688396822302834
204,4,0.6216781781155603,0.8196392785571143,0.0,0.0,0.8577154308617234,0.9899799599198397,-0.28951457206899905,0.1545687677680747
204,5,0.6718729204397424,0.9839679358717435,0.0,0.0,0.9939879759519038,0.9919839679358717,0.26177951515514886,0.13541968997930467
204,6,0.6093306374613948,0.8937875751503006,0.0,0.0,0.87374749498998,0.9979959919839679,-0.07918787652522032,0.11098112392653577
