split,sampled32,token,raw_repeat_corr,centered_repeat_corr,raw_different_corr,centered_specificity
train,False,0,0.5572807341123175,0.290249972145911,0.38094463991050076,0.27881077360655654
train,False,1,0.5103935557716676,0.22066150660504197,0.4029008724693374,0.20475378476594946
train,False,2,0.7137434379217354,0.27998364143986343,0.6079295549550507,0.261300649592375
train,False,3,0.64699146860276,0.2536987215918192,0.533766786996097,0.2334850089737568
train,False,4,0.48670394312873505,0.26522026270649174,0.2937856718799124,0.2511050882612118
train,False,5,0.6662129922657025,0.3307728531751862,0.49990116373690324,0.3189648340384736
train,False,6,0.5657916201889416,0.246233027155942,0.42405204111444356,0.22334546428984345
train,False,7,0.3488850665149063,0.2922368602047269,0.15574625889487145,0.2832750016724872
train,False,8,0.6159455877146719,0.2829019427294684,0.45691049592979566,0.2639584408863521
train,False,9,0.21963922595677726,0.13408997109978807,0.11290114141608182,0.12229295623908716
train,False,10,0.33072935612208604,0.13303075744295847,0.2498150668789002,0.12230423824896983
train,False,11,0.5267915767972128,0.23033762381096837,0.3865188813136003,0.21272182853610516
train,False,12,0.199418984897413,0.13280415333202295,0.09278976725184798,0.12511652868663642
train,False,13,0.5708670096604451,0.22958479786125893,0.4371033536707149,0.21644355010108388
train,False,14,0.760942566338168,0.23366767034634306,0.7010465012688887,0.20439573505421446
train,False,15,0.38597748982251506,0.13056259673806175,0.3091730305653532,0.11782065401352443
train,False,16,0.33144964487799045,0.14058810545171418,0.23390592067517837,0.12655681661497506
train,False,17,0.7199000115111983,0.2733653221400766,0.6131571626347877,0.26050095975594695
train,False,18,0.41667623156152667,0.1857649639208143,0.30471051161295426,0.17765597454494128
train,False,19,0.537793551531632,0.18144343888373687,0.445006834610489,0.1591971915310058
train,False,20,0.4969435592665046,0.20604137248023918,0.36822481602323315,0.1952696872600689
train,False,21,0.3360280066681801,0.11625020831269073,0.2732423693330694,0.0946752156189318
train,False,22,0.5129191297704877,0.1762556412300303,0.4192397112662611,0.15718400271771776
train,False,23,0.2384606155941974,0.10187887893048515,0.17736323453590094,0.08434985674754235
train,False,24,0.4868566441504934,0.17931963746419088,0.38788839879394166,0.16280934095343974
train,False,25,0.29274869978490903,0.12791873259216213,0.2149116807032858,0.11934354692982281
train,False,26,0.507286609205737,0.1864107563291139,0.40295228351159934,0.16843691842637645
train,False,27,0.49591928831129867,0.22006872264603058,0.36203759996654394,0.20667990316683993
