group,token,n_vertices,value_mean,value_std,parcel_mean_across_images_std
train8500,0,184,3.1009043935273715,1.9916789883980743,1.1939238156611167
train8500,1,293,1.4755190443835593,1.3572228591621602,0.8138225373131144
train8500,2,192,3.0556518015409346,2.2106983923963095,0.9864240820357285
train8500,3,204,2.867326934896732,1.6821399348470776,0.9075940644610035
train8500,4,408,2.590521944280183,1.3819813559230165,0.763012902961246
train8500,5,318,1.78652055054822,2.6675266782010802,0.9824846738930646
train8500,6,233,2.845128232774574,2.0768380672764173,0.9746113642112263
train8500,7,336,0.49925739596755525,1.0212175801937784,0.6169409459236614
train8500,8,241,3.1659718992955646,1.945699040567302,0.880022250203853
train8500,9,85,0.5788858716873992,0.6244453539781817,0.45753660871163593
train8500,10,381,1.3445296491487118,1.209137683821719,0.8209168231612967
train8500,11,326,2.32938430458763,1.4415851018562609,0.7950370859974486
train8500,12,201,0.4242359533105678,0.8488865036179025,0.622133977248411
train8500,13,218,2.0869154517601416,1.5959825990233627,0.8307544886580377
train8500,14,326,3.1888712135406783,2.8115672524693522,0.925794904058932
train8500,15,148,1.8456549027320828,1.0597440777445326,0.7140503099329707
train8500,16,137,1.1633502773916582,1.0926004039855763,0.6307332631185645
train8500,17,162,1.0126332942148857,1.483172682902467,0.48270727244818473
train8500,18,354,0.9039423035013575,1.0477439649346765,0.5833231129725791
train8500,19,182,2.3346054701422068,1.1925446877651893,0.5641051490061338
train8500,20,216,1.0719781799154562,1.5233181181827693,0.833943869688364
train8500,21,109,1.2966328938197795,0.9560537222226139,0.6693581447269445
train8500,22,222,1.22756209066079,1.1462678492097607,0.5711271163541604
train8500,23,102,0.8841225774767958,1.0349159472117013,0.774707843799176
train8500,24,370,1.8158324834066564,1.2183022206064678,0.6157346970350023
train8500,25,80,0.9517385779709738,1.1831816601215985,0.7937293925485996
train8500,26,178,1.57628135663467,1.2511689281900567,0.4495574448978348
train8500,27,358,1.257493241359011,0.9694584383181896,0.4083162733845972
train8500,28,130,1.3490346921813565,0.8949427503260586,0.5217843949891062
train8500,29,146,1.407179532365715,1.0508339310515016,0.6735312640220306
train8500,30,302,1.1293358025889249,1.6647297198206052,0.4377344339971143
train8500,31,326,1.576448391097279,1.1852637764573697,0.42940421856281186
train8500,32,323,1.9710525467683697,1.459947027218032,0.5092753424633211
train8500,33,256,1.2009820709199568,1.0748053783999791,0.5567474096262666
train8500,34,564,1.853750589590484,1.599029672544606,0.6156486203507766
train8500,35,176,2.2437112243501507,1.3705149243955717,0.7354055231887744
train8500,36,250,1.361520281817362,1.1739004251127114,0.5117548691622856
train8500,37,251,0.7204332798672425,0.9488415689831385,0.5444749071939354
train8500,38,410,1.444055987297727,1.2399383259296322,0.5463794449062717
train8500,39,184,0.2824353372922899,0.7082233829163757,0.4360020660507293
train8500,40,128,1.296082809546373,0.7670805574915184,0.39692717459827825
train8500,41,193,0.3292713369122289,1.0330208043706857,0.35980838080574223
train8500,42,208,0.8019325646824434,0.749595789935864,0.5154364298185858
train8500,43,401,1.8658027276401667,1.6096808904158417,0.4571159227319829
train8500,44,259,1.1544069426428363,1.4122706528575593,0.5448241483614987
train8500,45,208,0.582794510451325,0.9798423127224922,0.5736299702352923
train8500,46,343,0.07460903547457627,0.7523355622576183,0.4453355935553756
train8500,47,252,2.71140452614776,2.144752498097694,0.7695053582892262
train8500,48,225,1.1198341639099916,0.8901357934003024,0.4239415298922539
train8500,49,365,0.2032244686951971,0.7517395369400295,0.469427610218089
