image_id,split,rms,extreme_fraction_train_5sd,raw_repeat_corr,centered_repeat_corr,different_image_raw_corr,centered_repeat_specificity,lh_repeat_specificity,rh_repeat_specificity,session_1,session_2,session_3
13,train,1.6049753548678805,0.0,0.5044486695477104,0.31035761014739555,0.24398540211665307,0.38930554930398076,0.31193370809914217,0.4543962224069454,2,24,24
27,train,2.3841356400851423,0.0,0.704044546810188,0.23970561002188048,0.39829504931401805,0.32887248704032673,0.3573894439504259,0.31078463493936903,5,23,37
71,train,2.266518951138727,0.0,0.764219836136661,0.4064185974682073,0.5452154194119696,0.4297213143381802,0.412640019741255,0.447948947817943,3,4,11
85,train,1.8516508139405474,0.0,0.5725505418038186,0.1970695215055971,0.49329918109967935,0.20933943043970207,0.22776237123235163,0.1992326932800057,28,34,34
88,train,2.1707453998187276,0.0,0.6671171925070821,0.15931069304199455,0.5727010864241237,0.172765985603719,0.19950542407967045,0.14751774065724674,11,19,25
93,train,1.7856646430678236,0.0,0.6174640624611558,0.24769688863275396,0.5193628482312204,0.23233390595566852,0.13811324590021232,0.29789331097921234,3,17,39
95,validation,2.26756227080542,0.0,0.679628754936437,0.31520829763537134,0.5508690756353757,0.3017168378645587,0.3225391732297312,0.28286667790173636,11,31,39
99,train,1.9296773704207486,0.0,0.6337237240928815,0.16626670934395849,0.562852854160329,0.08748305190818528,0.10271773171541436,0.07210197801335745,33,33,40
103,train,1.6757056312010428,0.0,0.6285745697037765,0.4803174667509101,0.4974600666526179,0.5031906908479231,0.5622829603575897,0.4544525150050391,5,5,6
110,train,2.1065554568033873,0.0,0.6027335119672738,0.21116425260594862,0.47020864280341823,0.23046577610323674,0.25890163594139,0.20793477564591023,12,17,31
113,train,2.3506167844594414,0.0,0.6059263768128565,0.10472433237506161,0.6194864191732266,0.01307309808641321,0.06314948642908587,-0.022935735575308303,8,8,23
119,train,2.1853893192576033,0.0,0.7214963566709222,0.33501013709104766,0.47927913919066684,0.42168698952922806,0.3641180521217931,0.47411721237639465,2,10,10
140,train,2.1625804375370214,0.0,0.6008896535554511,0.06781631966322148,0.5820476520007447,-0.04481167426900195,-0.05690908204512399,-0.04152543492679673,12,13,13
