case,output,object,action_relation,scene,count_layout,best,notes
F001,A,partial,wrong,wrong,partial,all_wrong,人物张臂但滑板台沿变成雪地单板
F001,B,partial,wrong,wrong,partial,all_wrong,滑板沿墙滑行变成雪道转弯
F002,A,partial,partial,correct,wrong,B,猫与额外棕狗同床而非单只蜷卧黑白猫
F002,B,correct,partial,correct,wrong,B,床上黑白猫保留但多了前景橘猫且未蜷睡
F002,C,wrong,partial,correct,partial,B,床上卧兽变为黑白狗且缺玩偶
F003,A,correct,correct,partial,correct,A;B,单只长颈鹿朝左站立但林地变开阔草坪
F003,B,correct,correct,partial,correct,A;B,长颈鹿朝左保留但背后增加建筑
F003,C,wrong,partial,partial,partial,A;B,长颈鹿变成朝右的大象
F004,A,partial,partial,partial,partial,C,滑雪姿势夸张跨步且背景变海岸
F004,B,correct,partial,correct,partial,C,雪坡滑雪保留但人物放大且雪杖不清
F004,C,correct,correct,correct,partial,C,双板和雪杖对应但人物更大且缺远处滑雪者
F005,A,correct,partial,partial,wrong,B,出现两人及地上滑板而非单人背向提板
F005,B,correct,correct,partial,partial,B,背向提板走路对应但砖铺公园变住宅道路
F006,A,partial,wrong,partial,wrong,all_wrong,轮椅与后方滑板者关系丢失变儿童滑板
F006,B,partial,wrong,partial,wrong,all_wrong,滑板主体变狗且无轮椅搭乘者
F007,A,wrong,wrong,partial,wrong,all_wrong,斑马变成伏卧的牛样动物
F007,B,wrong,wrong,partial,wrong,all_wrong,全身斑马变长颈鹿头部特写
F008,A,correct,partial,partial,wrong,A,白马保留但低头吃草且多一匹暗色马
F008,B,wrong,partial,partial,wrong,A,坡上单马变成平地多只羊样动物
F008,C,wrong,partial,partial,partial,A,白马变白色牛羊样动物且山坡变平草地
F009,A,partial,partial,partial,partial,C,停止牌变蓝色且缺街名牌与涂字
F009,B,partial,partial,partial,partial,C,停止牌变绿色且缺交叉街名牌
F009,C,correct,partial,correct,partial,C,红色停止牌保留但附牌结构和涂字不同
F010,A,wrong,partial,partial,partial,all_wrong,床上伸展的猫变成躺沙发的人
F010,B,wrong,partial,partial,partial,all_wrong,猫变成沙发上仰躺的人且增加电视
F011,A,partial,correct,wrong,partial,B,男子领带保留但墨镜西装变透明眼镜背心且背景为人群
F011,B,partial,correct,wrong,correct,B,单人半身西装照对应但墨镜胡须和砖墙缺失
F012,A,partial,wrong,wrong,partial,B,儿童拿面包变成把香蕉贴耳旁
F012,B,correct,partial,partial,partial,B,儿童持圆面包对应但不再穿衣且餐馆背景缺失
